Names,Prices
"[None, 'Save-On-Foods - Pork Schnitzel Breaded, Fresh, 750 Gram', 'Open product description']",['$16.52 avg/ea']
"[None, 'Harvest - Regular Wieners, 675 Gram', 'Open product description']",['$9.99']
"[None, 'Save-On-Foods - Turkey Breast & Cranberry Sandwich, 1 Each', 'Open product description']",['$5.99']
"[None, ""Mann's - Vegetable Party Tray, 2.5 Pound"", 'Open product description']",['$15.99']
"[None, 'Limes - Fruit, Fresh, 1 Each', 'Open product description']",['$0.79']
"[None, 'Save-On-Foods - Sandwich, Ham & Swiss Cheese, 1 Each', 'Open product description']",['$5.99']
"[None, 'Western Family - Bread - White, Sliced, 570 Gram', 'Open product description']",['$1.89']
"[None, 'Western Family - Bread - 100% Whole Wheat, Sliced, 570 Gram', 'Open product description']",['$1.89']
"[None, 'Blackberries - Fresh, 6oz, 6 Ounce', 'Open product description']",['$2.99']
"[None, 'Janes - Pub Style Chicken Strips, 700 Gram', 'Open product description']",['$14.99']
"[None, 'Western Family - European Wieners, 500 Gram', 'Open product description']",['$9.99']
"[None, 'Simply - Orange Juice Pulp Free, 2.63 Litre', 'Open product description']",['$5.99']
"[None, 'Western Canadian - Boneless Stew, 454 Gram', 'Open product description']",['$9.30 avg/ea']
"[None, 'Western Family - Paper Towels - Ultra Paper Towels 6 Pack, 6 Each', 'Open product description']",['$5.99']
"[None, 'Save-On-Foods - Wild Sockeye Salmon Fillets, 450 Gram', 'Open product description']",['$13.46 avg/ea']
"[None, 'Bake Shop - Nottingham Harvest Bread, 567 Gram', 'Open product description']",['$2.49']
"[None, 'Mitchells - Pepperoni Sausage Snacks, 450 Gram', 'Open product description']",['$9.99']
"[None, ""Grimm's - Honey & Garlic Pepperoni Bites, 375 Gram"", 'Open product description']",['$8.99']
"[None, 'Armstrong - Natural Cheddar Cheese - Marble, 1.35 Kilogram', 'Open product description']",['$19.99']
"[None, ""Hellmann's - Real Mayonnaise, 890 Millilitre"", 'Open product description']",['$4.49']
"[None, 'Western Family - Cheese - Medium Cheddar, 600 Gram', 'Open product description']",['$9.39']
"[None, 'Bake Shop - Cherry Strudels, 6 Each', 'Open product description']",['$4.99']
"[None, 'McCafe - Coffee - Ground Premium Roast, Medium Dark, 950 Gram', 'Open product description']",['$18.99']
"[None, ""Grimm's - Original Pepperoni Bites, 375 Gram"", 'Open product description']",['$8.99']
"[None, 'Western Family - Tavern Style Chicken Wings - Cracked Pepper & Sea Salt, 750 Gram', 'Open product description']",['$15.99']
"[None, 'Apples - Granny Smith, 160 Gram', 'Open product description']",['$0.88 avg/ea']
"[None, 'Western Canadian - Pork Loin Rib End Country Style Ribs, 1.46 Kilogram', 'Open product description']",['$20.89 avg/ea']
"[None, 'Western Family - Cooked White Extra Large Prawns, 340 Gram', 'Open product description']",['$16.99']
"[None, 'Western Family - White Medium Prawns - Raw, 340 Gram', 'Open product description']",['$12.99']
"[None, 'Save-On-Foods - Kitchen Pizza Ham & Pineapple, 1 Each', 'Open product description']",['$10.99']
"[None, 'Earthbound Farm - Organic Spring Mix Salad, 284 Gram', 'Open product description']",['$4.99']
"[None, 'Dairyland - Sour Cream 14% M.F., 250 Millilitre', 'Open product description']",['$2.39']
"[None, 'Earthbound Farm - Organic Carrots, 2lb, 2 Pound', 'Open product description']",['$3.49']
"[None, 'Rabbit River Farms - Organic Large Eggs, 12 Each', 'Open product description']",['$7.79']
"[None, 'Bake Shop - Fruit Topped Trifle Dessert, 1 Each', 'Open product description']",['$14.99']
"[None, 'Wonder - Bread - White Soft, 570 Gram', 'Open product description']",['$2.49']
"[None, 'Bake Shop - Muffins - Blueberry, 6 Each', 'Open product description']",['$5.49']
"[None, 'Gatorade - G2 Perform Club Pack, 24 Each', 'Open product description']",['$18.99']
"[None, 'Western Family - Shredded Cheese Blend - Tripple Cheddar, 1 Kilogram', 'Open product description']",['$14.79']
"[None, 'Fresh Express - Chopped Salad Kit Sunflower Crisp, 250 Gram', 'Open product description']",['$4.49']
"[None, 'Freybe - Original Pepperoni, 500 Gram', 'Open product description']",['$13.99']
"[None, 'Bake Shop - Kaiser Rolls, 6 Each', 'Open product description']",['$2.29']
"[None, 'Western Family - Garlic Baguette, 325 Gram', 'Open product description']",['$3.49']
"[None, 'Olympic - Krema Yogurt 11% M.F. - Plain, 1.75 Kilogram', 'Open product description']",['$9.99']
"[None, 'Western Family - Cheese - Pizza Mozzarella, 600 Gram', 'Open product description']",['$9.39']
"[None, 'Western Canadian - Chicken Thighs Boneless Skinless, Family Pack. Fresh, 950 Gram', 'Open product description']",['$18.83 avg/ea']
"[None, 'Robin Hood - All Purpose Flour, Original, 10 Kilogram', 'Open product description']",['$13.99']
"[None, 'Miss Vickies - Kettle Cooked Potato Chips - Sea Salt & Malt Vinegar, 200 Gram', 'Open product description']",['$3.99']
"[None, 'Dairyland - Organic Homogenized Milk  3.25%, 4 Litre', 'Open product description']",['$8.79']
"[None, 'McCafe - Coffee Pods - Premium Roast K-Cup, Medium Dark, 48 Each', 'Open product description']",['$29.99']
"[None, 'Bake Shop - Cheddar Jalapeno Buns, 6 Each', 'Open product description']",['$3.99']
"[None, 'Save-On-Foods - Bavarian Meat Loaf, 100 Gram', 'Open product description']",['$2.49/100g']
"[None, 'Rogers - Fine Granulated Sugar, 4 Kilogram', 'Open product description']",['$6.99']
"[None, 'TIM HORTONS - Original Single Serve K-Cups, 48 Each', 'Open product description']",['$29.99']
"[None, 'Western Family - Triple Cheddar Shredded Cheese Blend, 320 Gram', 'Open product description']",['$3.79']
"[None, 'Western Family - Cheese - Extra Old Cheddar, 600 Gram', 'Open product description']",['$9.39']
"[None, 'Maxwell House - Original Roast, 925 Gram', 'Open product description']",['$8.99']
"[None, ""Reser's - Potato & Egg Salad, 1.25 Kilogram"", 'Open product description']",['$7.99']
"[None, 'Western Family - English Muffins - Original, 6 Each', 'Open product description']",['$2.19']
"[None, 'Armstrong - Natural Cheddar Cheese - Medium, 1.35 Kilogram', 'Open product description']",['$19.99']
"[None, 'Western Family - Tavern Style Chicken Wings - Hot Buffalo, 750 Gram', 'Open product description']",['$15.99']
"[None, 'Western Family - Cultivated Blueberries Frozen, 600 Gram', 'Open product description']",['$5.29']
"[None, 'Save-On-Foods - Kitchen Pizza - The Italian Job, 1 Each', 'Open product description']",['$10.99']
"[None, 'Western Family - Tex Mex Shreddded Cheese Blend, 320 Gram', 'Open product description']",['$3.79']
"[None, 'Save-On-Foods - Kitchen Classic Pepperoni Pizza, 1 Each', 'Open product description']",['$10.99']
"[None, 'Cod - Fillets Wild, Fresh, 150 Gram', 'Open product description']",['$4.19 avg/ea']
"[None, 'Ahi Tuna - Previously Frozen, 250 Gram', 'Open product description']",['$9.98 avg/ea']
"[None, 'Lilydale - Turkey Breast, Sun Dried Tomato, 100 Gram', 'Open product description']",['$3.29/100g']
"[None, 'Schneiders - Naturally Smoked Bacon Sliced, 375 Gram', 'Open product description']",['$7.99']
"[None, 'Simply - Orange Juice, Pulp Free, 1.54 Litre', 'Open product description']",['$3.99']
"[None, 'Bake Shop - Ciabatta Buns, 4 Each', 'Open product description']",['$3.49']
"[None, 'Kicking Horse - Coffee - Three Sisters Medium/Whole Bean, 454 Gram', 'Open product description']",['$12.99']
"[None, 'Garlic Bread - Calabrese, 540 Gram', 'Open product description']",['$3.49']
"[None, 'Miss Vickies - Kettle Cooked Potato Chips - Sea Salt & Malt Vinegar, 275 Gram', 'Open product description']",['$4.99']
"[None, 'Quaker - Dipps Granola Bars - Variety Pack, 30 Each', 'Open product description']",['$9.99']
"[None, 'Western Family - Pork Chops Loin Center Cut, Family Pack, 1.2 Kilogram', 'Open product description']",['$15.85 avg/ea']
"[None, 'Western Family - Variety Cheesecake Slices, 4 Each', 'Open product description']",['$8.39']
"[None, 'Western Family - Bread - 12 Grain Traditional Style Loaf, 600 Gram', 'Open product description']",['$2.49']
"[None, 'Good Host - Iced Tea - Original Drink Crystals, 2.35 Kilogram', 'Open product description']",['$12.99']
"[None, 'Blackberries - Fresh, 1 pint, 12 Ounce', 'Open product description']",['$7.99']
"[None, 'Western Family - Cream Cheese Brick, 250 Gram', 'Open product description']",['$3.29']
"[None, 'Simply - Orange Juice With Pulp, 2.63 Litre', 'Open product description']",['$5.99']
"[None, 'Lilydale - Turkey Breast,  Sweet Mesquite, 100 Gram', 'Open product description']",['$3.29/100g']
"[None, 'McCafe - Coffee Pods - Premium Roast K-Cup, Medium Dark, 30 Each', 'Open product description']",['$19.99']
"[None, 'Wonder - Hot Dog Buns White, 12 Each', 'Open product description']",['$3.49']
"[None, 'Save-On-Foods - Pork Loin Chops Center Cut Fast Fry, Fresh, 1 Kilogram', 'Open product description']",['$13.21 avg/ea']
"[None, 'Armstrong - Natural Sliced Cheese - Medium Cheddar, 24 Each', 'Open product description']",['$8.99']
"[None, 'Western Family - Pizza Mozzarella Shredded Cheese, 320 Gram', 'Open product description']",['$3.79']
"[None, 'Cilantro - Fresh, Bunch, 1 Each', 'Open product description']",['$1.29']
"[None, 'Schneiders - Country Naturals Bacon, 375 Gram', 'Open product description']",['$7.99']
"[None, 'Bake Shop - Muffins - Chocolate Chip, 6 Each', 'Open product description']",['$5.49']
"[None, 'Kraft - Smooth Peanut Butter, 2 Kilogram', 'Open product description']",['$8.99']
"[None, 'Lilydale - Turkey Breast, Honey Maple, 100 Gram', 'Open product description']",['$3.29/100g']
"[None, 'Rogers - Best Brown Sugar, 1 Kilogram', 'Open product description']",['$4.59']
"[None, 'Bake Shop - Muffins - Lemon Poppy Seed, 6 Each', 'Open product description']",['$5.49']
"[None, 'Christie - Premium Plus Crackers - Salted, 450 Gram', 'Open product description']",['$3.99']
"[None, ""Hellmann's - Real Mayonnaise, 750 Millilitre"", 'Open product description']",['$4.49']
"[None, 'Bake Shop - Sourdough Sliced Bread, 567 Gram', 'Open product description']",['$2.49']
"[None, 'Old Dutch - Potato Chips -Variety Pack, 30 Each', 'Open product description']",['$12.99']
"[None, 'Silk - Silk Creamer Almond Vanilla, 890 Millilitre', 'Open product description']",['$3.99']
"[None, 'Save-On-Foods - Rustic Baguette, 325 Gram', 'Open product description']",['$2.79']
"[None, 'Imitation Crab - Fresh, Flavoured Pollock, 325 Gram', 'Open product description']",['$5.82 avg/ea']
"[None, 'Doritos - Nacho Chips, 370 Gram', 'Open product description']",['$4.79']
"[None, 'Fresh Express - Salad Kit - Caesar, 278 Gram', 'Open product description']",['$4.49']
"[None, 'Black Diamond - Cheesestrings - Marbelicious, 28 Each', 'Open product description']",['$12.99']
"[None, 'Western Family - English Muffins - Extra Crispy, 6 Each', 'Open product description']",['$2.19']
"[None, 'Save-On-Foods - Egg Sandwich, 1 Each', 'Open product description']",['$5.99']
"[None, 'Bake Shop - Multigrain Buns, 6 Each', 'Open product description']",['$3.79']
"[None, 'Yams - Jumbo Bulk, 800 Gram', 'Open product description']",['$2.28 avg/ea']
"[None, 'Smartfood - Popcorn- White Cheddar, 200 Gram', 'Open product description']",['$4.49']
"[None, 'Country Harvest - Bread - 14 Grains, 600 Gram', 'Open product description']",['$2.99']
"[None, 'Kicking Horse - Coffee - Kick Ass Dark/Whole Bean, 454 Gram', 'Open product description']",['$12.99']
"[None, 'Earthbound Farm - Organic Power Greens, 284 Gram', 'Open product description']",['$4.99']
"[None, 'Western Family - English Muffins - Sourdough, 6 Each', 'Open product description']",['$2.19']
"[None, 'Apples - McIntosh, 163.33 Gram', 'Open product description']",['$0.90 avg/ea']
"[None, 'Kicking Horse - Coffee - Grizzly Claw Dark/Whole Bean, 454 Gram', 'Open product description']",['$12.99']
"[None, 'Kicking Horse - Coffee - Grizzly Claw Dark/Whole Bean, 454 Gram', 'Open product description']",['$12.99']
"[None, 'Kraft Dinner - Macaroni & Cheese - Original, 225 Gram', 'Open product description']",['$1.99']
"[None, ""Reser's - Potato Salad, 1.25 Kilogram"", 'Open product description']",['$7.99']
"[None, ""Earth's Own - SoFresh Oat Milk - Unsweetened Original, 1.75 Litre"", 'Open product description']",['$3.99']
"[None, 'Earthbound Farm - Organic Baby Arugula, 142 Gram', 'Open product description']",['$5.49']
"[None, 'Save-On-Foods - Kitchen Pizza Buffalo Chicken, 1 Each', 'Open product description']",['$11.99']
"[None, 'Save-On-Foods - Atlantic Salmon Fillet, Fresh Farmed, 750 Gram', 'Open product description']",['$27.68 avg/ea']
"[None, 'Deli World - Light Rye Bread, 500 Gram', 'Open product description']",['$2.49']
"[None, 'Western Family - 100% Whole Wheat Bread Traditional Loaf Bread, 600 Gram', 'Open product description']",['$2.49']
"[None, 'Simply - Orange Juice 100% with Pulp, 1.54 Litre', 'Open product description']",['$3.99']
"[None, 'Western Family - Hamburger Buns - White, 12 Each', 'Open product description']",['$3.19']
"[None, 'Nabob - Dark Roast Ground Coffee - Full City Dark, 915 Gram', 'Open product description']",['$15.99']
"[None, 'Bake Shop - Muffins - Cranberry Orange, 6 Each', 'Open product description']",['$5.49']
"[None, 'Western Family - Bavarian Smokies, 600 Gram', 'Open product description']",['$5.49']
"[None, 'Earthbound Farm - Organic Spinach & Spring Mix, 284 Gram', 'Open product description']",['$4.99']
"[None, 'Bake Shop - Muffins - Raisin Bran, 700 Gram', 'Open product description']",['$5.49']
"[None, 'Kraft - Cool Whip Original Whipped Topping, 1 Litre', 'Open product description']",['$3.99']
"[None, 'Western Family - Sliced Chicken Breast Strips, 300 Gram', 'Open product description']",['$7.49']
"[None, 'Powerade - Ion4 Team Pack, 24 Each', 'Open product description']",['$19.99']
"[None, 'Save-On-Foods Kitchen - Oven Roasted Carved Beef, 300 Gram', 'Open product description']",['$9.99']
"[None, 'Dairyland - 1% Skim Milk, 4 Litre', 'Open product description']",['$4.99']
"[None, 'Dairyland - 2% Milk, 4 Litre', 'Open product description']",['$4.99']
"[None, 'Dairyland - Milk Homogenized 3.25%, 4 Litre', 'Open product description']",['$5.49']
"[None, 'Purex - Bathroom Tissue - Double Roll 2 Ply, 12 Each', 'Open product description']",['$5.99']
"[None, 'Save-On-Foods - Lean Ground Beef Fine Grind, Family Pack, 1.3 Kilogram', 'Open product description']",['$9.43 avg/ea']
"[None, 'Western Family - Boneless Chicken Breasts, 3 Kilogram', 'Open product description']",['$26.39']
"[None, 'Rogers - Icing Sugar, 1 Kilogram', 'Open product description']",['$4.69']
"[None, 'Lays - Wavy Original Chips, 415 Gram', 'Open product description']",['$5.29']
"[None, 'Western Family - Bacon Wrapped Scallop Medallions - Unclooked, 300 Gram', 'Open product description']",['$14.99']
"[None, 'Cracker Barrel - Medium Sliced Cheese, 240 Gram', 'Open product description']",['$3.99']
"[None, 'Royal Chinet - Dinner Plates, 40 Each', 'Open product description']",['$11.99']
"[None, 'Snapper - Fresh Pacific Snapper, 175 Gram', 'Open product description']",['$3.48 avg/ea']
"[None, 'Miss Vickies - Sweet Chili & Sour Cream Chips, 200 Gram', 'Open product description']",['$3.99']
"[None, 'Freybe - Honey Garlic Dry Pepperoni, 500 Gram', 'Open product description']",['$13.99']
"[None, 'Kraft Philadelphia - Spreadable Cream Cheese - Original, 227 Gram', 'Open product description']",['$4.79']
"[None, 'Western Family - Gluten Free Whole Grain Sandwich Bread, 454 Gram', 'Open product description']",['$5.79']
"[None, 'Freybe - Smoked Beer Sticks, 500 Gram', 'Open product description']",['$13.99']
"[None, ""Kellogg's - Raisin Bran Two Scoops, 1.15 Kilogram"", 'Open product description']",['$7.99']
"[None, ""Grimm's - Pizza Pack, 175 Gram"", 'Open product description']",['$5.49']
"[None, 'Alpo - Dry Dog Food Cookout Classics, 16 Kilogram', 'Open product description']",['$28.99']
"[None, 'Miss Vickies - Kettle Cooked Potato Chips - Original, 200 Gram', 'Open product description']",['$3.99']
"[None, 'Western Family - Liquid Honey, 1 Kilogram', 'Open product description']",['$10.99']
"[None, 'Western Family - Pizza Mozzarella & Cheddar Shredded Cheese Blend, 320 Gram', 'Open product description']",['$3.79']
"[None, ""Reser's - Elbow Macaroni Salad, 1.25 Kilogram"", 'Open product description']",['$7.99']
"[None, 'Royal - Mixed Nuts Roasted & Salted, 100 Gram', 'Open product description']",['$2.69/100g']
"[None, 'Kraft Philadelphia - Spreadable Cream Cheese -Herb & Garlic, 227 Gram', 'Open product description']",['$4.79']
"[None, ""Earth's Own - Almond Fresh Beverage Unsweetened, 1.89 Litre"", 'Open product description']",['$3.99']
"[None, 'Western Canadian - Sirloin Tip Oven Roast, 2.3 Kilogram', 'Open product description']",['$35.44 avg/ea']
"[None, 'Whole - Cashews Roasted & Salted, 100 Gram', 'Open product description']",['$2.49/100g']
"[None, 'Save-On-Foods - Strawberry Spinach Salad 190g, 1 Each', 'Open product description']",['$7.49']
"[None, 'Western Family - Spring Water, 12 Each', 'Open product description']",['$2.49']
"[None, 'Western Family - Italiano 4 Cheese Blend, 320 Gram', 'Open product description']",['$3.79']
"[None, 'Western Family - Shredded Chesse Blend - Tex Mex, 1 Kilogram', 'Open product description']",['$14.79']
"[None, 'Kraft - Jet Puffed Marshmallows, 400 Gram', 'Open product description']",['$3.99']
"[None, 'Ginger - Root, Fresh, 1 Pound', 'Open product description']",['$1.49/lb']
"[None, 'Armstrong - Natural Sliced Cheese - Marble Cheddar, 500 Gram', 'Open product description']",['$8.99']
"[None, 'Western Family - Citrus Twist Sparkling Water, 12 Each', 'Open product description']",['$4.99']
"[None, 'Silk - Creamer Hazelnut Almond, 473 Millilitre', 'Open product description']",['$2.99']
"[None, 'Save On Foods - Pork Bellies Sliced Side, 500 Gram', 'Open product description']",['$9.14 avg/ea']
"[None, 'Purina ONE Smartblend - Dry Dog Food, Lamb & Rice, 14 Kilogram', 'Open product description']",['$49.99']
"[None, 'Western Family - Gluten Free White Sandwich Bread, 454 Gram', 'Open product description']",['$5.79']
"[None, 'Pedigree - Vitality+ Dog Food - Hearty Beef & Vegetable, 14 Kilogram', 'Open product description']",['$29.99']
"[None, 'Melitta - Estate Whole Bean 100% Colombian Coffee, 907 Gram', 'Open product description']",['$13.99']
"[None, 'Lilydale - Montreal Style Turkey Breast, Original, 100 Gram', 'Open product description']",['$3.29/100g']
"[None, 'Save-On-Foods - Deli Meat - Roasted in Store Black Forest Ham, 100 Gram', 'Open product description']",['$3.14/100g']
"[None, 'Bake Shop - Multigrain Bread, 567 Gram', 'Open product description']",['$2.49']
"[None, 'Maui Ribs - Pork Back Ribs - Fully Cooked, 680 Gram', 'Open product description']",['$12.99']
"[None, 'Western Family - Frozen Mango Chunks, 600 Gram', 'Open product description']",['$5.29']
"[None, 'Miss Vickies - Kettle Cooked Potato Chips - Original, Party Size, 275 Gram', 'Open product description']",['$4.99']
"[None, 'Save-On-Foods - Pecans - Halves, 100 Gram', 'Open product description']",['$3.49/100g']
"[None, 'Christie - HoneyMaid Graham Wafers, 400 Gram', 'Open product description']",['$5.49']
"[None, 'Organic Meadow - Butter Salted, 454 Gram', 'Open product description']",['$11.99']
"[None, 'Save-On-Foods - Greek Yogurt Berry Parfait, 310 Gram', 'Open product description']",['$4.99']
"[None, 'Lindt - Lindor Milk Chocolate Balls, Bulk, 100 Gram', 'Open product description']",['$3.69/100g']
"[None, 'Western Family - Lasagna Meat Sauce & 4 Cheese, 907 Gram', 'Open product description']",['$5.49']
"[None, 'Armstrong - Pizza Mozzarella Cheese - Light, 1.35 Kilogram', 'Open product description']",['$19.99']
"[None, 'Bubly - Sparkling Water - Blackberrybubly, 12 Each', 'Open product description']",['$5.99']
"[None, 'Western Family - 3 Cheese Smokies, 600 Gram', 'Open product description']",['$5.49']
"[None, 'Nestle - Pure Life Spring Water, 12 Each', 'Open product description']",['$2.99']
"[None, 'Lays - Classic Chips, 415 Gram', 'Open product description']",['$5.29']
"[None, 'Dairyland - Old Fashioned Chocolate Milk, 946 Millilitre', 'Open product description']",['$2.99']
"[None, ""Hershey's - Chipits Pure Semi Sweet Chocolate Chips, 1 Kilogram"", 'Open product description']",['$11.99']
"[None, 'Western Family - Medium Cheddar Cheese Slices, 240 Gram', 'Open product description']",['$3.69']
"[None, 'Western Family - Bread - Ancient Grains Traditional Style Loaf, 600 Gram', 'Open product description']",['$2.49']
"[None, 'Miss Vickies - Spicy Dill Pickle Kettle Chips, 200 Gram', 'Open product description']",['$3.99']
"[None, 'Western Family - Organics Coconut MIlk, 400 Millilitre', 'Open product description']",['$3.49']
"[None, 'Cracker Barrel - Marble Cheese Slices, 240 Gram', 'Open product description']",['$3.99']
"[None, ""Abigail's Kitchen - Homestyle Stuffing, 300 Gram"", 'Open product description']",['$3.99']
"[None, 'Bake Shop - Keto Bread, 454 Gram', 'Open product description']",['$6.99']
"[None, 'Save-On-Foods - Kitchen Carved Ham Oven Roasted, 300 Gram', 'Open product description']",['$9.99']
"[None, 'Western Family - Organic Mexican Dark Roast Single Serve Pods, 30 Each', 'Open product description']",['$16.99']
"[None, 'Western Family - All Purpose White Flour, 10 Kilogram', 'Open product description']",['$11.99']
"[None, 'Western Family - Parchment Paper - 75Ft, 1 Each', 'Open product description']",['$5.99']
"[None, 'Kicking Horse - Coffee - 454 Horse Power/Whole Bean, 454 Gram', 'Open product description']",['$12.99']
"[None, ""Cook's - Spiral Ham with Honey, 4 Kilogram"", 'Open product description']",['$35.19 avg/ea']
"[None, 'Tenderflake - Pure Lard, 454 Gram', 'Open product description']",['$4.89']
"[None, 'Pedigree - Vitality+ Dog Food - Original Flavour, 14 Kilogram', 'Open product description']",['$29.99']
"[None, ""Angie's - Boom Chicka Pop Sea Salt Popcorn, 136 Gram"", 'Open product description']",['$5.29']
